actor_id,Challange,Closeness,Curiosity,Excitement,Harmony,Ideal,Liberty,Love,Practicality,Self-expression,Stability,Structure,Conservation,Openness to change,Hedonism,Self-enhancement,Self-transcendence,Adventurousness,Artistic interests,Emotionality,Imagination,Intellect,Authority-challenging,Achievement striving,Cautiousness,Dutifulness,Orderliness,Self-discipline,Self-efficacy,Activity level,Assertiveness,Cheerfulness,Excitement-seeking,Outgoing,Gregariousness,Altruism,Cooperation,Modesty,Uncompromising,Sympathy,Trust,Fiery,Prone to worry,Melancholy,Immoderation,Self-consciousness,Susceptible to stress,Opensess,Conscientiousness,Extraversion,Agreeableness,Emotional range,Target,Country ,Gender,Age
9.23E+17,0.443719929,0.342416736,0.572912879,0.305327296,0.456569558,0.598204785,0.297349559,0.272903551,0.669775603,0.349063756,0.526775918,0.590257903,0.385912899,0.31793854,0.545132541,0.555331798,0.322636042,0.047117715,0.450103141,0.275114814,0.841844832,0.83514095,0.472500251,0.231295243,0.14874297,0.115267538,0.389701774,0.08256385,0.547610521,0.097258105,0.712331893,0.166623956,0.442469089,0.123919037,0.124707345,0.284511258,0.028244394,0.153991309,0.149301888,0.606622382,0.036806307,0.957905315,0.685399626,0.757630575,0.548398909,0.683282821,0.47164149,0.758681656,0.127114248,0.351041736,0.136481705,0.432540528,1,United State,Female,15
7.58E+17,0.04812098,0.047983538,0.142737747,0.03073045,0.03164486,0.090643404,0.020822796,0.03112259,0.122140678,0.17455216,0.398256989,0.228645229,0.045866977,0.049105645,0.148782985,0.015201655,0.051062577,0.65116697,0.655315661,0.399546725,0.440211351,0.992310118,0.558970466,0.813709729,0.752342062,0.653545938,0.690404272,0.847691621,0.916273837,0.398852606,0.971356532,0.099593351,0.199462282,0.511244858,0.246611616,0.83049046,0.169317723,0.185873808,0.674893651,0.994814162,0.104714342,0.543704672,0.237538833,0.243289101,0.1285018,0.089376753,0.036830578,0.961149226,0.875574072,0.9783845,0.568311524,0.938574929,1,United State,Female,15
4426456706,0.085913785,0.035414901,0.142948267,0.035324985,0.043532281,0.146189401,0.018950222,0.061685412,0.247288016,0.171508119,0.307249263,0.256830933,0.044932021,0.028462371,0.171571236,0.070730471,0.050996755,0.381118909,0.357179335,0.525150309,0.580543718,0.988705659,0.64753066,0.775223338,0.764764077,0.595777753,0.512636762,0.733648712,0.949612709,0.232604142,0.945707481,0.018561685,0.241433031,0.221578954,0.05552909,0.730058245,0.090564354,0.192882443,0.484990915,0.995902553,0.067116925,0.884065644,0.633890611,0.609304373,0.144900293,0.416949975,0.164446101,0.928471498,0.699557303,0.926904654,0.458437636,0.828216589,1,United Kingdom,Female,15
396210973,0.322279247,0.587573081,0.355448635,0.155265778,0.556199711,0.39290855,0.226706957,0.212927934,0.129751546,0.388834601,0.736823054,0.386629177,0.699578095,0.141094984,0.096401485,0.026035125,0.249530805,0.478564556,0.745856645,0.731223431,0.193220006,0.857031097,0.155215131,0.9708254,0.853991138,0.980673014,0.581293088,0.960092068,0.831798717,0.873358244,0.882134997,0.907370585,0.116166686,0.904595671,0.693914244,0.981456769,0.866135942,0.837764724,0.97343134,0.990971358,0.761576118,0.180466713,0.122173394,0.133454493,0.119905751,0.031681477,0.117117714,0.902532309,0.995543336,0.93477755,0.987496414,0.944303761,1,United Kingdom,Female,15
9.59E+17,0.907063394,0.29563724,0.368118106,0.690238517,0.406896332,0.648638446,0.679400001,0.324978874,0.838407164,0.543572945,0.531967639,0.706961443,0.755398093,0.585556454,0.745419089,0.628154454,0.3692956,0.596186807,0.202315457,0.167235774,0.650652687,0.762659738,0.077534576,0.831650964,0.190958125,0.438948021,0.879579378,0.876850038,0.995158041,0.813726168,0.996059753,0.952857359,0.9075771,0.958894613,0.990493369,0.595651856,0.024653944,0.042465579,0.3621937,0.37966416,0.305513267,0.481202725,0.098267387,0.138846627,0.297533237,0.010538658,0.009313787,0.559601286,0.703658497,0.954750796,0.401149794,0.908863984,1,United Kingdom,Female,20
833218608,0.089292227,0.593143929,0.49476588,0.049340451,0.525681335,0.353951456,0.148558686,0.184830869,0.167673965,0.523752194,0.502068296,0.217924373,0.17786824,0.131830485,0.197679244,0.036588872,0.286818196,0.1721458,0.61928588,0.83353682,0.45591025,0.96354597,0.305660377,0.466871099,0.593127369,0.583072671,0.227484842,0.332622951,0.273656544,0.214637184,0.617375669,0.200160975,0.087317675,0.184543282,0.074867156,0.907350025,0.376676464,0.753541961,0.91228188,0.996872967,0.048106565,0.78304849,0.457033148,0.649920412,0.254127174,0.422010138,0.461988022,0.950013548,0.606999465,0.777357006,0.931182386,0.707278591,1,United Kingdom,Female,20
7702542,0.205013508,0.079416018,0.542968103,0.035237827,0.069831546,0.251422074,0.075484785,0.024952712,0.199358274,0.173479097,0.295103429,0.509817748,0.033452673,0.149970481,0.179851076,0.138419881,0.134808275,0.379033097,0.601746737,0.394309439,0.601774276,0.991821506,0.737343466,0.633378606,0.5870252,0.452183269,0.331399296,0.384905241,0.562748467,0.487541337,0.791294719,0.051704428,0.149615496,0.204862233,0.052851279,0.548616026,0.259785333,0.305056347,0.647852422,0.970580701,0.159563201,0.798165859,0.471209583,0.657674277,0.216464375,0.51162117,0.338497866,0.940825105,0.587009545,0.621825218,0.283871993,0.859913324,1,United Kingdom,Female,20
736095344,0.041811121,0.348316886,0.550202363,0.092207882,0.38998014,0.195145581,0.095009898,0.038916391,0.095409939,0.32317045,0.553415072,0.532916409,0.38708693,0.199747823,0.094531897,0.062054765,0.368112844,0.451602198,0.907986216,0.802814262,0.432384413,0.990900662,0.381835995,0.731952269,0.822936344,0.626611404,0.384339296,0.706047797,0.607007519,0.718105767,0.895164545,0.360141929,0.158278298,0.563664167,0.145756205,0.931711826,0.42385358,0.675828356,0.912656262,0.998071478,0.201665775,0.35807487,0.258784803,0.409811814,0.17261613,0.198518071,0.238233885,0.963889774,0.78757013,0.581285543,0.465958482,0.777651931,1,United Kingdom,Female,20
9.88E+17,0.004429162,0.23623192,0.213379531,0.203635067,0.177545614,0.357485145,0.369268187,0.107430402,0.264070089,0.704275971,0.312119797,0.015988577,0.183281704,0.130729647,0.150969166,0.024085122,0.256905725,0.188554659,0.238669036,0.806966444,0.577580894,0.371697303,0.184064753,0.167051567,0.40154468,0.615725466,0.31467592,0.174432001,0.142606627,0.370570273,0.330226616,0.149870211,0.144071764,0.242672654,0.431834385,0.501755074,0.203075172,0.798341256,0.34941656,0.701184398,0.107696326,0.91670385,0.775275448,0.862777546,0.116228778,0.571078357,0.786738406,0.633754966,0.654009546,0.864507875,0.847611439,0.710271626,1,United Kingdom,Female,20
9.15E+17,0.137257795,0.083335798,0.569296622,0.076697796,0.076332322,0.367980134,0.112698216,0.038215983,0.176450375,0.337603466,0.354670017,0.293633731,0.049874423,0.157933926,0.217963607,0.250965783,0.115672708,0.517041183,0.765661752,0.537728818,0.72162418,0.987283553,0.852691409,0.494642481,0.504847579,0.412230631,0.343329903,0.342159283,0.502124368,0.205960257,0.746577345,0.134766463,0.253090123,0.167109762,0.146646504,0.646645133,0.236539957,0.281160483,0.70470597,0.984359009,0.106790158,0.763540129,0.445580506,0.638006098,0.280413978,0.52360275,0.329015151,0.93669269,0.400708561,0.57512866,0.301319404,0.727163962,1,United Kingdom,Female,20
